Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Heroic Intervention,SLD,Secret Lair Drop,1750,foil,rare,1,99995,02f7ffb0-ad48-4f2c-af43-a86a9546a1b2,16.37,false,false,near_mint,en,USD
Cultural Exchange,SLD,Secret Lair Drop,2071,normal,rare,1,105504,18e1a8eb-5219-4e2c-9134-100367ba8b08,3.7,false,false,near_mint,en,USD
Voice of Victory,TDM,Tarkir: Dragonstorm,33,normal,rare,1,104377,ec3de5f4-bb55-4ab9-995f-f3e0dc22c1bb,8.74,false,false,near_mint,en,USD
Lightning Bolt,SLD,Secret Lair Drop,1743,foil,rare,1,99997,24484578-7885-4125-b95f-e677d970a5a1,3.51,false,false,near_mint,en,USD
Colossus Hammer,SLD,Secret Lair Drop,1866,foil,rare,1,106314,9e42aded-44be-4b3a-9b2c-80ae43835e3d,47.67,false,false,near_mint,en,USD
Solemn Simulacrum,SLD,Secret Lair Drop,1725,normal,rare,1,103714,41d33193-337b-4bf1-8c04-0d1e305c6dc8,5.08,false,false,near_mint,en,USD
"Deadpool, Trading Card",SLD,Secret Lair Drop,1753,foil,mythic,1,105178,3a14d6c5-cfd1-4860-834a-5a0dc9df0320,20.88,false,false,near_mint,en,USD
Galvanic Blast,SLD,Secret Lair Drop,1732,foil,rare,1,100015,b739607d-0d29-4d29-a926-f8dcb661738c,3.77,false,false,near_mint,en,USD
Uncivil Unrest,SLD,Secret Lair Drop,2008,normal,rare,1,105511,343c3e40-d551-4e2c-bb94-315b58151a33,6.58,false,false,near_mint,en,USD
Ground Seal,WOT,Wilds of Eldraine: Enchanting Tales,54,normal,uncommon,1,85606,9b36d3ff-8d38-467b-bd70-33dfeae73b7d,0.07,false,false,near_mint,en,USD
Deadly Dispute,SLD,Secret Lair Drop,1980,foil,rare,1,106710,b6ae0d7b-8e9c-4251-8c8e-db4afdeb2c29,,false,false,near_mint,en,USD
Serenity,SLD,Secret Lair Drop,1893,normal,rare,1,105377,49730d61-c68d-40f3-998d-41eae1101cb2,6.41,false,false,near_mint,en,USD
Minds Aglow,SLD,Secret Lair Drop,7028,normal,rare,1,105788,3813f508-6542-45d6-aa45-64edb35442c1,,false,false,near_mint,en,USD
"Urborg, Tomb of Yawgmoth",TSR,Time Spiral Remastered,287,normal,rare,1,57768,9e1a9e38-6ffc-490f-b0be-23ba4e8204c6,54.5,false,false,near_mint,en,USD
The One Ring,LTR,The Lord of the Rings: Tales of Middle-earth,451,foil,mythic,1,82863,126ea71a-9a64-4d1e-a8ca-1efce3b8346f,50.0,false,false,near_mint,en,USD
Sigarda's Aid,SLD,Secret Lair Drop,1727,foil,rare,1,100021,ee8e6040-84a1-42fe-8537-a000b4cb902f,7.9,false,false,near_mint,en,USD
Sword of Truth and Justice,SLD,Secret Lair Drop,1867,foil,mythic,1,106318,f5208aff-a33e-48d9-94eb-98a517099741,101.42,false,false,near_mint,en,USD
Berserk,SLD,Secret Lair Drop,1738,foil,mythic,1,100013,9866e64e-308b-4920-a76b-ddea0c6bc830,9.51,false,false,near_mint,en,USD
Umezawa's Jitte,SLD,Secret Lair Drop,1865,foil,rare,1,106304,32a46d1d-df85-4388-acd6-91818aa9af80,69.63,false,false,near_mint,en,USD
